total_sqft_cleaned,bath,bhk,availability_encoded,balcony,price_per_sqft,location_reduced,price
1056.0,2.0,2.0,0,1.0,3699.810606060606,Electronic City Phase II,39.07
2600.0,5.0,4.0,1,3.0,4615.384615384615,other,120.0
1440.0,2.0,3.0,1,3.0,4305.555555555556,Uttarahalli,62.0
1521.0,3.0,3.0,1,1.0,6245.890861275477,other,95.0
1200.0,2.0,2.0,1,1.0,4250.0,Kothanur,51.0
1170.0,2.0,2.0,1,1.0,3247.863247863248,Whitefield,38.0
2732.0,4.0,4.0,0,2.0,7467.0571010248905,other,204.0
3300.0,4.0,4.0,1,2.0,18181.81818181818,Rajaji Nagar,600.0
1310.0,3.0,3.0,1,1.0,4828.244274809161,Marathahalli,63.25
1020.0,6.0,6.0,1,2.0,36274.509803921566,other,370.0
1800.0,2.0,3.0,0,2.0,3888.8888888888887,Whitefield,70.0
2785.0,5.0,4.0,1,3.0,10592.45960502693,Whitefield,295.0
1000.0,2.0,2.0,1,1.0,3800.0,7th Phase JP Nagar,38.0
1100.0,2.0,2.0,1,2.0,3636.3636363636365,other,40.0
2250.0,3.0,3.0,1,2.0,6577.777777777777,Sarjapur,148.0
1175.0,2.0,2.0,1,2.0,6255.31914893617,other,73.5
1180.0,3.0,3.0,1,2.0,4067.7966101694915,Bisuvanahalli,48.0
1540.0,3.0,3.0,1,3.0,3896.103896103896,Raja Rajeshwari Nagar,60.0
2770.0,4.0,3.0,1,2.0,10469.314079422382,other,290.0
1100.0,2.0,2.0,1,2.0,4363.636363636364,other,48.0
600.0,1.0,1.0,1,1.0,2500.0,Kengeri,15.0
1755.0,3.0,3.0,0,1.0,6951.5669515669515,other,122.0
2800.0,5.0,4.0,1,2.0,13571.42857142857,Thanisandra,380.0
1767.0,3.0,3.0,1,1.0,5829.088851160159,Bellandur,103.0
510.0,1.0,1.0,0,0.0,4950.980392156863,other,25.25
1250.0,3.0,3.0,0,2.0,4480.0,other,56.0
660.0,1.0,2.0,1,1.0,3500.0,Electronic City,23.1
1610.0,3.0,3.0,0,2.0,5031.055900621118,Whitefield,81.0
1151.0,2.0,2.0,0,2.0,4237.185056472633,Ramagondanahalli,48.77
1025.0,2.0,3.0,1,1.0,4585.365853658536,Electronic City,47.0
2475.0,4.0,4.0,0,0.0,7515.151515151515,Yelahanka,186.0
1075.0,2.0,3.0,1,1.0,3255.813953488372,Bisuvanahalli,35.0
1760.0,2.0,3.0,1,2.0,6988.636363636364,Hebbal,123.0
1693.0,3.0,3.0,1,3.0,3389.84051978736,Raja Rajeshwari Nagar,57.39
1925.0,3.0,3.0,1,2.0,6493.506493506494,other,125.0
700.0,2.0,2.0,0,1.0,5142.857142857143,Kanakpura Road,36.0
1070.0,2.0,2.0,1,1.0,4252.336448598131,Electronics City Phase 1,45.5
1724.0,3.0,3.0,1,2.0,7250.580046403712,other,125.0
1290.0,2.0,3.0,1,2.0,4350.387596899225,other,56.12
1143.0,2.0,2.0,1,2.0,3937.0078740157483,Uttarahalli,45.0
1296.0,2.0,2.0,1,2.0,6250.0,other,81.0
1254.0,3.0,3.0,0,2.0,3030.3030303030305,Sarjapur  Road,38.0
600.0,1.0,1.0,1,0.0,6333.333333333333,other,38.0
660.0,1.0,1.0,1,0.0,7272.727272727273,Yelahanka,48.0
1330.74,2.0,2.0,0,2.0,6897.665960292769,Kanakpura Road,91.79
600.0,9.0,8.0,1,2.0,33333.333333333336,HSR Layout,200.0
970.0,2.0,2.0,1,0.0,3402.061855670103,other,33.0
1459.0,2.0,2.0,0,1.0,6498.971898560658,Whitefield,94.82
800.0,1.0,2.0,1,1.0,16250.0,KR Puram,130.0
869.0,2.0,2.0,1,1.0,4142.692750287687,other,36.0
1270.0,2.0,2.0,1,1.0,3937.0078740157483,other,50.0
1670.0,3.0,3.0,0,1.0,5928.143712574851,other,99.0
2010.0,3.0,3.0,1,2.0,4527.363184079602,Whitefield,91.0
1185.0,2.0,2.0,1,2.0,6329.113924050633,other,75.0
